1,25,6
2,72,8
3,89,3
4,35,7
5,80,2
6,77,7
7,18,7
8,51,8
9,3,14
10,49,9
11,42,2
12,75,13
13,98,4
14,22,9
15,99,3
16,80,12
17,97,7
18,5,4
19,56,7
20,5,2
21,51,2
22,59,7
23,7,11
24,62,10
25,87,2
26,19,6
27,33,9
28,34,13
29,9,6
30,59,10
31,17,8
32,73,1
33,98,1
34,2,2
35,89,5
36,63,4
37,83,5
38,51,11
39,66,6
40,31,14
41,91,5
42,6,3
43,29,9
44,33,1
45,28,12
46,40,14
47,22,14
48,38,11
49,58,5
50,32,13
51,99,13
52,34,2
53,58,14
54,47,9
55,11,12
56,4,12
57,20,1
58,71,7
59,90,10
60,61,3
61,96,4
62,38,2
63,85,1
64,83,7
65,69,9
66,96,14
67,64,8
68,65,5
69,48,2
70,93,12
71,83,2
72,61,13
73,8,3
74,94,11
75,68,5
76,34,14
77,80,7
78,10,11
79,27,3
80,83,13
81,60,8
82,84,8
83,78,4
84,16,7
85,82,4
86,85,6
87,83,3
88,34,1
89,72,5
90,21,6
91,9,2
92,45,13
93,12,8
94,1,11
95,26,14
96,65,4
97,53,6
98,27,10
99,1,12
100,66,14
101,98,7
102,56,11
103,31,14
104,14,12
105,28,5
106,12,5
107,13,6
108,21,2
109,85,8
110,98,13
111,80,5
112,68,2
113,32,5
114,84,11
115,65,5
116,46,2
117,72,7
118,41,4
119,37,13
120,84,8
121,94,3
122,60,8
123,98,11
124,12,12
125,62,13
126,24,9
127,97,13
128,76,3
129,40,13
130,68,1
131,51,7
132,100,12
133,91,13
134,11,5
135,38,5
136,21,2
137,13,6
138,35,1
139,65,10
140,70,3
141,53,8
142,1,5
143,81,14
144,17,14
145,95,6
146,39,6
147,65,1
148,82,14
149,93,5
150,73,3
151,46,9
152,3,10
153,57,1
154,13,1
155,50,1
156,45,8
157,12,3
158,98,5
159,16,7
160,86,10
161,27,11
162,65,14
163,71,10
164,96,2
165,50,10
166,100,9
167,70,3
168,24,7
169,37,2
170,47,12
171,34,7
172,31,9
173,99,8
174,76,11
175,6,8
176,18,6
177,98,3
178,31,7
179,71,8
180,39,5
181,92,6
182,83,8
183,69,9
184,69,8
185,8,7
186,89,7
187,57,5
188,96,1
189,92,1
190,36,5
191,91,13
192,89,5
193,77,1
194,7,3
195,49,1
196,53,4
197,54,2
198,86,1
199,92,5
200,76,9
201,77,6
202,83,1
203,73,3
204,64,6
205,49,1
206,37,10
207,38,6
208,42,11
209,20,3
210,82,7
211,3,9
212,45,13
213,6,9
214,78,10
215,16,4
216,3,5
217,41,4
218,6,13
219,25,4
220,28,8
221,76,11
222,45,4
223,3,5
224,48,6
225,15,2
226,48,10
227,7,2
228,9,13
229,72,14
230,88,10
231,20,12
232,77,12
233,69,10
234,80,4
235,44,12
236,87,7
237,50,1
238,99,7
239,21,14
240,52,5
241,20,3
242,42,6
243,51,10
244,78,2
245,54,1
246,48,11
247,91,6
248,95,2
249,4,5
250,37,3
251,26,9
252,86,7
253,26,9
254,93,4
255,92,8
256,20,12
257,100,9
258,56,1
259,12,2
260,25,13
261,60,1
262,28,7
263,50,7
264,26,9
265,24,5
266,83,3
267,3,1
268,7,6
269,37,12
270,19,11
271,56,8
272,74,12
273,28,1
274,10,9
275,91,11
276,68,3
277,73,14
278,1,7
279,44,12
280,87,3
281,21,13
282,83,1
283,19,12
284,3,9
285,16,10
286,20,12
287,88,9
288,45,8
289,14,3
290,64,12
291,48,10
292,31,9
293,24,13
294,23,1
295,40,1
296,6,6
297,39,5
298,64,11
299,91,13
300,47,7
301,98,14
302,26,1
303,97,14
304,6,10
305,30,13
306,27,6
307,29,1
308,87,2
309,77,14
310,60,9
311,10,5
312,67,2
313,95,8
314,30,6
315,24,11
316,80,1
317,84,6
318,11,13
319,95,3
320,3,8
321,49,14
322,87,1
323,93,4
324,93,1
325,87,11
326,7,6
327,1,1
328,98,4
329,2,14
330,87,4
331,59,14
332,76,7
333,12,9
334,48,10
335,93,12
336,91,12
337,45,12
338,98,3
339,92,11
340,84,9
341,84,3
342,52,2
343,43,12
344,30,5
345,47,4
346,72,8
347,35,12
348,43,8
349,23,1
350,15,13
351,19,6
352,2,11
353,12,1
354,79,9
355,83,14
356,76,2
357,95,7
358,41,13
359,23,14
360,21,2
361,11,14
362,82,1
363,71,2
364,80,12
365,66,10
366,16,3
367,42,14
368,34,6
369,80,10
370,23,8
371,35,1
372,29,4
373,18,6
374,89,9
375,44,2
376,5,12
377,43,4
378,91,10
379,84,7
380,76,1
381,32,1
382,72,10
383,69,9
384,3,11
385,43,9
386,84,4
387,93,8
388,74,11
389,33,10
390,86,3
391,63,12
392,47,2
393,79,3
394,34,11
395,36,1
396,54,7
397,83,3
398,16,12
399,40,5
400,62,2
401,46,4
402,49,6
403,67,13
404,25,1
405,35,4
406,58,9
407,88,5
408,25,10
409,72,7
410,64,3
411,43,2
412,95,1
413,38,7
414,83,5
415,73,11
416,54,11
417,18,1
418,41,6
419,81,4
420,48,4
421,67,12
422,85,6
423,64,14
424,89,14
425,60,8
426,59,1
427,98,11
428,16,2
429,77,12
430,90,1
431,92,8
432,69,13
433,96,2
434,72,14
435,90,14
436,29,8
437,52,1
438,23,10
439,17,13
440,53,12
441,37,13
442,14,4
443,75,12
444,80,13
445,22,8
446,96,14
447,36,14
448,57,9
449,64,4
450,41,3
451,41,5
452,23,7
453,59,2
454,60,4
455,31,11
456,64,3
457,59,9
458,11,7
459,10,3
460,83,2
461,74,5
462,34,6
463,79,10
464,85,13
465,47,6
466,43,12
467,100,5
468,59,9
469,10,12
470,6,12
471,26,4
472,83,13
473,58,7
474,100,5
475,88,11
476,20,12
477,90,9
478,93,6
479,34,10
480,93,14
481,9,4
482,79,3
483,64,9
484,3,9
485,50,10
486,84,14
487,57,7
488,76,7
489,18,8
490,45,5
491,26,8
492,30,1
493,12,14
494,41,2
495,86,13
496,76,13
497,81,8
498,50,6
